blocksize,image,dimgrid,duration
26,MontagneFoncee.pgm,11816,105
26,MontagneFoncee.pgm,11816,92
26,MontagneFoncee.pgm,11816,95
26,MontagneFoncee.pgm,11816,93
26,MontagneFoncee.pgm,11816,97
26,MontagneFoncee.pgm,11816,93
26,MontagneFoncee.pgm,11816,91
26,MontagneFoncee.pgm,11816,93
26,MontagneFoncee.pgm,11816,93
26,MontagneFoncee.pgm,11816,99
26,MontagneFoncee.pgm,11816,96
26,MontagneFoncee.pgm,11816,98
26,MontagneFoncee.pgm,11816,95
26,MontagneFoncee.pgm,11816,95
26,MontagneFoncee.pgm,11816,94
26,MontagneFoncee.pgm,11816,90
26,MontagneFoncee.pgm,11816,95
26,MontagneFoncee.pgm,11816,94
26,MontagneFoncee.pgm,11816,90
26,MontagneFoncee.pgm,11816,95
27,MontagneFoncee.pgm,11378,93
27,MontagneFoncee.pgm,11378,108
27,MontagneFoncee.pgm,11378,94
27,MontagneFoncee.pgm,11378,93
27,MontagneFoncee.pgm,11378,94
27,MontagneFoncee.pgm,11378,92
27,MontagneFoncee.pgm,11378,95
27,MontagneFoncee.pgm,11378,94
27,MontagneFoncee.pgm,11378,90
27,MontagneFoncee.pgm,11378,71
27,MontagneFoncee.pgm,11378,90
27,MontagneFoncee.pgm,11378,89
27,MontagneFoncee.pgm,11378,93
27,MontagneFoncee.pgm,11378,109
27,MontagneFoncee.pgm,11378,107
27,MontagneFoncee.pgm,11378,93
27,MontagneFoncee.pgm,11378,98
27,MontagneFoncee.pgm,11378,97
27,MontagneFoncee.pgm,11378,94
27,MontagneFoncee.pgm,11378,82
28,MontagneFoncee.pgm,10972,91
28,MontagneFoncee.pgm,10972,90
28,MontagneFoncee.pgm,10972,98
28,MontagneFoncee.pgm,10972,94
28,MontagneFoncee.pgm,10972,75
28,MontagneFoncee.pgm,10972,92
28,MontagneFoncee.pgm,10972,92
28,MontagneFoncee.pgm,10972,93
28,MontagneFoncee.pgm,10972,90
28,MontagneFoncee.pgm,10972,94
28,MontagneFoncee.pgm,10972,93
28,MontagneFoncee.pgm,10972,90
28,MontagneFoncee.pgm,10972,90
28,MontagneFoncee.pgm,10972,90
28,MontagneFoncee.pgm,10972,99
28,MontagneFoncee.pgm,10972,98
28,MontagneFoncee.pgm,10972,98
28,MontagneFoncee.pgm,10972,90
28,MontagneFoncee.pgm,10972,97
28,MontagneFoncee.pgm,10972,92
29,MontagneFoncee.pgm,10594,97
29,MontagneFoncee.pgm,10594,91
29,MontagneFoncee.pgm,10594,89
29,MontagneFoncee.pgm,10594,90
29,MontagneFoncee.pgm,10594,91
29,MontagneFoncee.pgm,10594,98
29,MontagneFoncee.pgm,10594,92
29,MontagneFoncee.pgm,10594,93
29,MontagneFoncee.pgm,10594,93
29,MontagneFoncee.pgm,10594,95
29,MontagneFoncee.pgm,10594,89
29,MontagneFoncee.pgm,10594,95
29,MontagneFoncee.pgm,10594,88
29,MontagneFoncee.pgm,10594,93
29,MontagneFoncee.pgm,10594,91
29,MontagneFoncee.pgm,10594,91
29,MontagneFoncee.pgm,10594,90
29,MontagneFoncee.pgm,10594,96
29,MontagneFoncee.pgm,10594,100
29,MontagneFoncee.pgm,10594,91
30,MontagneFoncee.pgm,10240,79
30,MontagneFoncee.pgm,10240,97
30,MontagneFoncee.pgm,10240,97
30,MontagneFoncee.pgm,10240,99
30,MontagneFoncee.pgm,10240,96
30,MontagneFoncee.pgm,10240,90
30,MontagneFoncee.pgm,10240,92
30,MontagneFoncee.pgm,10240,89
30,MontagneFoncee.pgm,10240,96
