num_threads,image,duration
4,MontagneFoncee.pgm,0.000718
4,MontagneFoncee.pgm,0.000726
4,MontagneFoncee.pgm,0.000734
4,MontagneFoncee.pgm,0.000726
5,MontagneFoncee.pgm,0.001368
5,MontagneFoncee.pgm,0.000640
5,MontagneFoncee.pgm,0.000630
5,MontagneFoncee.pgm,0.000642
5,MontagneFoncee.pgm,0.000633
5,MontagneFoncee.pgm,0.000634
5,MontagneFoncee.pgm,0.000642
5,MontagneFoncee.pgm,0.000651
5,MontagneFoncee.pgm,0.000648
5,MontagneFoncee.pgm,0.000638
5,MontagneFoncee.pgm,0.000638
5,MontagneFoncee.pgm,0.000647
5,MontagneFoncee.pgm,0.001713
5,MontagneFoncee.pgm,0.000630
5,MontagneFoncee.pgm,0.000645
5,MontagneFoncee.pgm,0.000634
5,MontagneFoncee.pgm,0.000629
5,MontagneFoncee.pgm,0.000624
5,MontagneFoncee.pgm,0.000633
5,MontagneFoncee.pgm,0.000642
6,MontagneFoncee.pgm,0.000597
6,MontagneFoncee.pgm,0.000585
6,MontagneFoncee.pgm,0.000596
6,MontagneFoncee.pgm,0.000599
6,MontagneFoncee.pgm,0.000590
6,MontagneFoncee.pgm,0.000585
6,MontagneFoncee.pgm,0.000592
6,MontagneFoncee.pgm,0.000961
6,MontagneFoncee.pgm,0.000592
6,MontagneFoncee.pgm,0.000595
6,MontagneFoncee.pgm,0.000585
6,MontagneFoncee.pgm,0.000595
6,MontagneFoncee.pgm,0.000596
6,MontagneFoncee.pgm,0.000610
6,MontagneFoncee.pgm,0.000593
6,MontagneFoncee.pgm,0.000577
6,MontagneFoncee.pgm,0.000585
6,MontagneFoncee.pgm,0.000581
6,MontagneFoncee.pgm,0.000584
6,MontagneFoncee.pgm,0.000596
7,MontagneFoncee.pgm,0.000570
7,MontagneFoncee.pgm,0.000567
7,MontagneFoncee.pgm,0.000551
7,MontagneFoncee.pgm,0.001733
7,MontagneFoncee.pgm,0.003316
7,MontagneFoncee.pgm,0.000568
7,MontagneFoncee.pgm,0.000572
7,MontagneFoncee.pgm,0.000568
7,MontagneFoncee.pgm,0.000552
7,MontagneFoncee.pgm,0.000551
7,MontagneFoncee.pgm,0.000553
7,MontagneFoncee.pgm,0.000560
7,MontagneFoncee.pgm,0.000606
7,MontagneFoncee.pgm,0.000562
7,MontagneFoncee.pgm,0.000560
7,MontagneFoncee.pgm,0.000584
7,MontagneFoncee.pgm,0.000581
7,MontagneFoncee.pgm,0.000554
7,MontagneFoncee.pgm,0.000566
7,MontagneFoncee.pgm,0.000584
8,MontagneFoncee.pgm,0.000727
8,MontagneFoncee.pgm,0.000728
8,MontagneFoncee.pgm,0.000734
8,MontagneFoncee.pgm,0.000752
8,MontagneFoncee.pgm,0.000737
8,MontagneFoncee.pgm,0.000732
8,MontagneFoncee.pgm,0.000732
8,MontagneFoncee.pgm,0.000745
8,MontagneFoncee.pgm,0.000553
8,MontagneFoncee.pgm,0.002079
8,MontagneFoncee.pgm,0.000734
8,MontagneFoncee.pgm,0.000756
8,MontagneFoncee.pgm,0.000779
8,MontagneFoncee.pgm,0.003348
8,MontagneFoncee.pgm,0.000540
8,MontagneFoncee.pgm,0.000716
8,MontagneFoncee.pgm,0.005099
8,MontagneFoncee.pgm,0.000557
8,MontagneFoncee.pgm,0.000741
