number_nodes,image,time(ms),node_0_lines_handled,node_0_duration(ms),node_0_name,node_0_arch,node_0_speed,node_1_lines_handled,node_1_duration(ms),node_1_name,node_1_arch,node_1_speed,node_2_lines_handled,node_2_duration(ms),node_2_name,node_2_arch,node_2_speed,node_3_lines_handled,node_3_duration(ms),node_3_name,node_3_arch,node_3_speed
4,MontagneFoncee.pgm,309121,120,10,lipsky-b-01,LINUX64,1000,120,10,lipsky-b-01,LINUX64,1000,120,10,lipsky-b-02,LINUX64,1000,120,0,lipsky-b-03,LINUX64,1000
4,MontagneFoncee.pgm,328858,120,10,lipsky-b-01,LINUX64,1000,120,10,lipsky-b-01,LINUX64,1000,120,10,lipsky-b-02,LINUX64,1000,120,0,lipsky-b-03,LINUX64,1000
4,MontagneFoncee.pgm,314709,120,0,lipsky-b-01,LINUX64,1000,120,0,lipsky-b-01,LINUX64,1000,120,10,lipsky-b-02,LINUX64,1000,120,10,lipsky-b-03,LINUX64,1000
4,MontagneFoncee.pgm,318169,119,10,lipsky-b-01,LINUX64,1000,119,10,lipsky-b-01,LINUX64,1000,120,10,lipsky-b-02,LINUX64,1000,120,10,lipsky-b-03,LINUX64,1000
4,MontagneFoncee.pgm,292238,119,0,lipsky-b-01,LINUX64,1000,119,0,lipsky-b-01,LINUX64,1000,120,10,lipsky-b-02,LINUX64,1000,120,10,lipsky-b-03,LINUX64,1000
4,MontagneFoncee.pgm,309826,120,10,lipsky-b-01,LINUX64,1000,120,10,lipsky-b-01,LINUX64,1000,120,0,lipsky-b-02,LINUX64,1000,120,10,lipsky-b-03,LINUX64,1000
4,MontagneFoncee.pgm,324186,120,10,lipsky-b-01,LINUX64,1000,120,10,lipsky-b-01,LINUX64,1000,120,10,lipsky-b-02,LINUX64,1000,120,10,lipsky-b-03,LINUX64,1000
4,MontagneFoncee.pgm,309921,120,10,lipsky-b-01,LINUX64,1000,120,10,lipsky-b-01,LINUX64,1000,120,0,lipsky-b-02,LINUX64,1000,120,10,lipsky-b-03,LINUX64,1000
4,MontagneFoncee.pgm,305868,120,0,lipsky-b-01,LINUX64,1000,120,0,lipsky-b-01,LINUX64,1000,120,0,lipsky-b-02,LINUX64,1000,120,10,lipsky-b-03,LINUX64,1000
4,MontagneFoncee.pgm,329539,120,10,lipsky-b-01,LINUX64,1000,120,10,lipsky-b-01,LINUX64,1000,120,0,lipsky-b-02,LINUX64,1000,120,0,lipsky-b-03,LINUX64,1000
4,MontagneFoncee.pgm,302572,120,10,lipsky-b-01,LINUX64,1000,120,10,lipsky-b-01,LINUX64,1000,120,10,lipsky-b-02,LINUX64,1000,120,10,lipsky-b-03,LINUX64,1000
4,MontagneFoncee.pgm,305035,120,10,lipsky-b-01,LINUX64,1000,120,10,lipsky-b-01,LINUX64,1000,120,10,lipsky-b-02,LINUX64,1000,120,0,lipsky-b-03,LINUX64,1000
4,MontagneFoncee.pgm,308538,120,10,lipsky-b-01,LINUX64,1000,120,10,lipsky-b-01,LINUX64,1000,120,10,lipsky-b-02,LINUX64,1000,120,0,lipsky-b-03,LINUX64,1000
4,MontagneFoncee.pgm,286520,120,10,lipsky-b-01,LINUX64,1000,120,10,lipsky-b-01,LINUX64,1000,120,0,lipsky-b-02,LINUX64,1000,120,10,lipsky-b-03,LINUX64,1000
4,MontagneFoncee.pgm,328819,120,0,lipsky-b-01,LINUX64,1000,120,0,lipsky-b-01,LINUX64,1000,120,10,lipsky-b-02,LINUX64,1000,120,10,lipsky-b-03,LINUX64,1000
