number_nodes,image,time(ms),node_0_lines_handled,node_0_duration(ms),node_0_name,node_0_arch,node_0_speed,node_1_lines_handled,node_1_duration(ms),node_1_name,node_1_arch,node_1_speed,node_2_lines_handled,node_2_duration(ms),node_2_name,node_2_arch,node_2_speed
3,stavrovouni.pgm,15435865,970,430,lipsky-b-01,LINUX64,1000,970,430,lipsky-b-01,LINUX64,1000,971,430,lipsky-b-02,LINUX64,1000
3,stavrovouni.pgm,15414110,970,420,lipsky-b-01,LINUX64,1000,970,420,lipsky-b-01,LINUX64,1000,971,430,lipsky-b-02,LINUX64,1000
3,stavrovouni.pgm,15477317,970,430,lipsky-b-01,LINUX64,1000,970,430,lipsky-b-01,LINUX64,1000,971,430,lipsky-b-02,LINUX64,1000
3,stavrovouni.pgm,15412982,970,430,lipsky-b-01,LINUX64,1000,970,430,lipsky-b-01,LINUX64,1000,971,420,lipsky-b-02,LINUX64,1000
3,stavrovouni.pgm,15461191,970,430,lipsky-b-01,LINUX64,1000,970,430,lipsky-b-01,LINUX64,1000,971,430,lipsky-b-02,LINUX64,1000
3,stavrovouni.pgm,15408251,970,430,lipsky-b-01,LINUX64,1000,970,430,lipsky-b-01,LINUX64,1000,971,430,lipsky-b-02,LINUX64,1000
3,stavrovouni.pgm,15410849,970,430,lipsky-b-01,LINUX64,1000,970,430,lipsky-b-01,LINUX64,1000,971,430,lipsky-b-02,LINUX64,1000
3,stavrovouni.pgm,15419565,970,430,lipsky-b-01,LINUX64,1000,970,430,lipsky-b-01,LINUX64,1000,971,430,lipsky-b-02,LINUX64,1000
3,stavrovouni.pgm,15427646,970,420,lipsky-b-01,LINUX64,1000,970,420,lipsky-b-01,LINUX64,1000,971,430,lipsky-b-02,LINUX64,1000
3,stavrovouni.pgm,15460224,970,420,lipsky-b-01,LINUX64,1000,970,420,lipsky-b-01,LINUX64,1000,971,420,lipsky-b-02,LINUX64,1000
3,stavrovouni.pgm,15457331,970,430,lipsky-b-01,LINUX64,1000,970,430,lipsky-b-01,LINUX64,1000,971,430,lipsky-b-02,LINUX64,1000
3,stavrovouni.pgm,15474587,970,430,lipsky-b-01,LINUX64,1000,970,430,lipsky-b-01,LINUX64,1000,971,430,lipsky-b-02,LINUX64,1000
3,stavrovouni.pgm,15451319,970,430,lipsky-b-01,LINUX64,1000,970,430,lipsky-b-01,LINUX64,1000,971,420,lipsky-b-02,LINUX64,1000
3,stavrovouni.pgm,15409967,970,440,lipsky-b-01,LINUX64,1000,970,440,lipsky-b-01,LINUX64,1000,971,420,lipsky-b-02,LINUX64,1000
3,stavrovouni.pgm,15493340,970,430,lipsky-b-01,LINUX64,1000,970,430,lipsky-b-01,LINUX64,1000,971,430,lipsky-b-02,LINUX64,1000
